name;version;bom-ref;licenses/0/license/id;copyrights;externalReferences/0/url;language
core;7.16.0;core;MIT;;git+https://github.com/babel/babel.git#packages/babel-core;javascript
color-convert;1.9.3;color-convert@1.9.3;MIT;;git+https://github.com/Qix-/color-convert.git;javascript
color-name;1.1.3;color-name@1.1.3;MIT;;git+ssh://git@github.com/dfcreative/color-name.git;javascript
escape-string-regexp;1.0.5;escape-string-regexp@1.0.5;MIT;;git+https://github.com/sindresorhus/escape-string-regexp.git;javascript
has-flag;3.0.0;has-flag@3.0.0;MIT;;git+https://github.com/sindresorhus/has-flag.git;javascript
helper-compilation-targets;7.16.0;@babel/helper-compilation-targets@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-compilation-targets;javascript
compat-data;7.16.0;@babel/compat-data@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-compat-data;javascript
helper-validator-option;7.14.5;@babel/helper-validator-option@7.14.5;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-validator-option;javascript
browserslist;4.18.1;browserslist@4.18.1;MIT;;git+https://github.com/browserslist/browserslist.git;javascript
helper-module-transforms;7.16.0;@babel/helper-module-transforms@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-module-transforms;javascript
helper-replace-supers;7.16.0;@babel/helper-replace-supers@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-replace-supers;javascript
helper-member-expression-to-functions;7.16.0;@babel/helper-member-expression-to-functions@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-member-expression-to-functions;javascript
helper-optimise-call-expression;7.16.0;@babel/helper-optimise-call-expression@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-optimise-call-expression;javascript
helper-hoist-variables;7.16.0;@babel/helper-hoist-variables@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-hoist-variables;javascript
helper-simple-access;7.16.0;@babel/helper-simple-access@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-simple-access;javascript
helpers;7.16.0;@babel/helpers@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helpers;javascript
safe-buffer;5.1.2;safe-buffer@5.1.2;MIT;;git://github.com/feross/safe-buffer.git;javascript
gensync;1.0.0-beta.2;gensync@1.0.0-beta.2;MIT;;git+https://github.com/loganfsmyth/gensync.git;javascript
plugin-syntax-dynamic-import;7.8.3;@babel/plugin-syntax-dynamic-import@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import;javascript
helper-plugin-utils;7.8.3;@babel/helper-plugin-utils@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils;javascript
plugin-transform-runtime;7.16.4;@babel/plugin-transform-runtime@7.16.4;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-runtime;javascript
helper-module-imports;7.16.0;@babel/helper-module-imports@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-module-imports;javascript
babel-plugin-polyfill-corejs2;0.3.0;babel-plugin-polyfill-corejs2@0.3.0;MIT;;git+https://github.com/babel/babel-polyfills.git#packages/babel-plugin-polyfill-corejs2;javascript
helper-define-polyfill-provider;0.3.0;@babel/helper-define-polyfill-provider@0.3.0;MIT;;git+https://github.com/babel/babel-polyfills.git#packages/babel-helper-define-polyfill-provider;javascript
lodash.debounce;4.0.8;lodash.debounce@4.0.8;MIT;;git+https://github.com/lodash/lodash.git;javascript
is-core-module;2.2.0;is-core-module@2.2.0;MIT;;git+https://github.com/inspect-js/is-core-module.git;javascript
path-parse;1.0.6;path-parse@1.0.6;MIT;;git+https://github.com/jbgutierrez/path-parse.git;javascript
babel-plugin-polyfill-corejs3;0.4.0;babel-plugin-polyfill-corejs3@0.4.0;MIT;;git+https://github.com/babel/babel-polyfills.git#packages/babel-plugin-polyfill-corejs3;javascript
core-js-compat;3.19.2;core-js-compat@3.19.2;MIT;;git+https://github.com/zloirock/core-js.git#packages/core-js-compat;javascript
babel-plugin-polyfill-regenerator;0.3.0;babel-plugin-polyfill-regenerator@0.3.0;MIT;;git+https://github.com/babel/babel-polyfills.git#packages/babel-plugin-polyfill-regenerator;javascript
preset-env;7.16.4;@babel/preset-env@7.16.4;MIT;;git+https://github.com/babel/babel.git#packages/babel-preset-env;javascript
plugin-bugfix-safari-id-destructuring-collision-in-function-expression;7.16.2;@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.16.2;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-bugfix-safari-id-destructuring-collision-in-function-expression;javascript
plugin-bugfix-v8-spread-parameters-in-optional-chaining;7.16.0;@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-bugfix-v8-spread-parameters-in-optional-chaining;javascript
helper-skip-transparent-expression-wrappers;7.16.0;@babel/helper-skip-transparent-expression-wrappers@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-skip-transparent-expression-wrappers;javascript
plugin-proposal-optional-chaining;7.16.0;@babel/plugin-proposal-optional-chaining@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-optional-chaining;javascript
plugin-proposal-async-generator-functions;7.16.4;@babel/plugin-proposal-async-generator-functions@7.16.4;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-async-generator-functions;javascript
helper-remap-async-to-generator;7.16.4;@babel/helper-remap-async-to-generator@7.16.4;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-remap-async-to-generator;javascript
helper-annotate-as-pure;7.16.0;@babel/helper-annotate-as-pure@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-annotate-as-pure;javascript
helper-wrap-function;7.16.0;@babel/helper-wrap-function@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-wrap-function;javascript
plugin-syntax-async-generators;7.8.4;@babel/plugin-syntax-async-generators@7.8.4;MIT;;https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators;javascript
plugin-proposal-class-properties;7.16.0;@babel/plugin-proposal-class-properties@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-class-properties;javascript
helper-create-class-features-plugin;7.16.0;@babel/helper-create-class-features-plugin@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-create-class-features-plugin;javascript
plugin-proposal-class-static-block;7.16.0;@babel/plugin-proposal-class-static-block@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-class-static-block;javascript
plugin-syntax-class-static-block;7.14.5;@babel/plugin-syntax-class-static-block@7.14.5;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-syntax-class-static-block;javascript
plugin-proposal-dynamic-import;7.16.0;@babel/plugin-proposal-dynamic-import@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-dynamic-import;javascript
